Designator,Footprint,Quantity,Value,LCSC Part #
"BZ1, BZ2",Buzzer_12x9.5RM7.6,2,Buzzer,
"C1, C2",C_Rect_L4.0mm_W2.5mm_P2.50mm,2,C,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",LED_D5.0mm,10,LED,
D11,LED_D5.0mm-4_RGB_Wide_Pins,1,LED_RGBA,
"H1, H2, H3, H4",MountingHole_3mm,4,MountingHole,
"J1, J2",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
"J3, J6, J9",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
"J4, J5, J7, J8",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,
"R1, R11, R12, R13, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,11,R,
"R10, R14, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,220,
R15,R_LDR_7x6mm_P5.1mm_Vertical,1,R_Photo,
"R16, R17",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10k,
R18,TRIM_PT01-D125D-B103,1,PT01-D125D-B103,
"RN1, RN2",R_Array_SIP8,2,R_Pack04_SIP_Split,
SW1,SW_B3F-4050_OMR,1,B3F-4055,
"SW2, SW3, SW4, SW5",SW_PUSH_6mm,4,SW_DIP_x01,
SW6,PinHeader_1x03_P2.54mm_Vertical,1,SW_SPDT,
TH1,PinHeader_1x02_P2.54mm_Vertical,1,Thermistor,
"U1, U2",DIP-16_W7.62mm,2,74LS595,
U5,D1X8K,1,D168K,
